,comment,star,3,support,sentiment_score,
,我们应该以怎样的方式来爱这个世界？是马提奥那样宁为玉碎，朱莉叶那样飞蛾扑火，还是像尼古拉那样柔情似水？追寻自由之路究竟通向何方？到底怎样才能用爱换取爱？这些最重要的问题，我们从来也得不到回答，多少人的一生就这样枉惘而过。数度落泪，想给六星。,5,3,2419,0.9999985584498903,
,我电影名单里永远的第一名。影片里充满了哭泣，但不是为赚取你的泪水。影片里充满了悲伤，但不是为赚取你的悲伤。影片里充满了坚强，但不是为说教你坚强。你是马迪奥，你也是尼古拉。,5,3,1438,0.999999999448963,
,"我愿肝脑涂地地深情推荐这部电影。所谓“人生中不能错过的六个小时”，我看，可远不止六个小时，因为，看完一遍还会想看第二第三第四遍。
我记忆中的意大利，我所不知道的意大利，真实温暖或炽烈灿烂的感情。漫溢于所有的画面。",5,3,1373,0.9999999760249142,
,演员普遍面生貌近性温技庸，这点对观众来说不够友好，特别是在讲述角色谱系繁杂线索反复交织的家族史的时候；镜头语言也比较单调，中近比例过高太象拍电视，色彩配音对氛围的营造不够，没能配合剧情展示出与时代变迁相匹配的厚重沧桑感……空挂盛名、浅观速弃。,3,3,15,0.999999999992939,
,从耐心上来讲。。我是不推荐的,4,3,803,0.7763960311762738,
,你有没有试过，看完一遍，立马跳到影片前10分钟看几分钟，恍如隔世。★★★★★,5,3,1310,0.19181983122179946,
,人生如梦，跌宕起伏。生老病死，几度哽咽。黯然销魂，唯别而已。灿烂人生，生生长流。,4,3,685,0.9999992439684147,
,六个小时真有阅尽人生之感，虽然这种人生仍不免理想化，过于美好总叫我恐惧；自由的代价是死亡，可是为了追求生命中最微小的幸福和最飘渺的美，即使死亡也不足惜；要有多大勇气重温历史重温回忆；苍老的爱情多么美丽，为了等到那一刻，漫漫长夜，我愿意等。,4,3,362,1.0,
,他让激进的朱莉娅弹得一手好钢琴，让暴躁的马蒂奥成为一个书迷，让美瑞娜在失去马蒂奥之后得到儿子，让尼古拉在女儿离开后重新得到爱情。他端详、雕刻、安抚每一个辗转反侧的灵魂，让你觉得世界可以变得更好，正在变得更好，还会变得更好。,5,3,832,0.9999999999088265,
,虽然有点长，但绝对是每一个人值得一看的好电影。从一个家庭（具体两兄弟的家庭）的成长，大到囊括意大利的历史变迁，小到每一个个人的领悟，转折，和生老病死。看得我泪流满面，而且极度想家，也想拥有一个家庭。Everything that exists is beautiful！！！也许青春以后就不再相信感叹号了，但是世界依然美好。,5,3,650,0.9999999999504969,
,6个多小时，长得不像话，让人想写诗，不写白不写：美国往事意难平，步履不停爱且行。美好何需添感叹，灿烂寂灭总关情。体制自由各孤影，他朝黄梁幡然醒。一生几届世界杯，人间正道是悲悯。,4,3,283,0.9999999873238864,
,6个小时，1个家庭，44年的世界跨度，一晚上看完一群人的一生，太完美了！★★★★★,5,3,738,0.9727302886816459,
,宏大与微小的完美结合，每个人物都那么鲜活生动，都有一种纯粹的美好令人难忘。4.5星。,4,3,186,0.9999117569405479,
,"昨晚，独自三瓶燕京啤酒之后，是一部六个小时的电影，意大利的《灿烂人生》。第二遍看它，感触愈深。

电影是关于两兄弟和身边一些人的事，四张碟，六个小时，故事从1966年进行到2002年，应该可以说算是意大利的近代史了。

关于历史两字，实在不怎么喜欢，以前接触的无非是课本上堂而皇之的一些玩意儿：某个年月某个人某件事，缺乏细节的幽默与惊喜，看了如同嚼蜡，无趣之至。

关于细节的印象，建立在一次影视赏析课，那是看了《天使艾米莉》之后，老师布置了一个当堂的作业：每人写十个细节。实在分不清像艾米莉迷恋把",5,3,548,0.9999999999999865,
,6个小时，酣畅淋漓，波澜壮阔，又见微知著，充满人性光辉（完美承接了贝托鲁奇的<一九零零>）；我坚信每个人都会从这部人文史诗电影里看到自己灵魂的投影，去寻找生活的真相、生存的意义与生命的本质！——真的无比灿烂，无比辉煌！！// 追加：近十年来已反复重看了五六遍，这是在绝望中让我重拾信仰的圣经！,5,3,375,1.0,
,"""「眼前一切都很美丽」，还有三个感叹号，你现在仍然认同吗？"" 
""我不认同那三个感叹号.."" ",5,3,389,0.9983638122176268,
,平民史诗也可以如此回肠荡气。366分钟里浓缩了40年的时光流转，用一个家庭的悲欢离合徐徐描绘意大利战后人事变迁。对积重难返的社会，导演显然是如第一男主一样的温和改良派，并把人情置于理念之上，这点相信也是意大利人的民族性。剧情演进的前后呼应，结尾的轮回与传承，精妙绝伦。,5,3,234,0.9999999999967537,
,愿每一个骨子里住着马迪奥的人，都像尼古拉一样温柔的活着。,5,3,315,0.8738143536750196,
,OMG！本来只是为了练习意大利语听力，但是从BGM，美术设计，情节节奏，人物呈现，还有借由一个家庭还魂的历史那个水乳交融。那些我曾经去过的城市，读过的故事都有了新的面孔……下次去意大利会有完全不同的感受吧。能handle这种超长片而不叫观众走神不让叙事或人物跳针的，都是大才啊~~~,5,3,196,0.9999999994491757,
,"三星到四星到五星
躁动中的平静最后胜出",5,3,223,0.469511380559976,
