电影名,评分,地区,地址,发布日期,评论人数
盗梦空间,9.4,美国,https://movie.douban.com/subject/3541415/,2010-09-01,2140053
星际穿越,9.4,美国,https://movie.douban.com/subject/1889243/,2014-11-12,1935329
楚门的世界,9.4,美国,https://movie.douban.com/subject/1292064/,1998-06-05,1792399
机器人总动员,9.3,美国,https://movie.douban.com/subject/2131459/,2008-06-27,1362417
蝙蝠侠：黑暗骑士,9.2,美国,https://movie.douban.com/subject/1851857/,2008-07-14,1100825
黑客帝国,9.1,美国,https://movie.douban.com/subject/1291843/,2000-01-14,867549
红辣椒,9.1,日本,https://movie.douban.com/subject/1865703/,2006-09-02,492657
攻壳机动队,9.1,日本,https://movie.douban.com/subject/1291936/,1995-11-18,145416
黑镜：圣诞特别篇,9.1,英国,https://movie.douban.com/subject/25964630/,2014-12-16,127555
攻壳机动队2：无罪,9.2,日本,https://movie.douban.com/subject/1291566/,2004-03-06,69614
超感猎杀：完结特别篇,9.2,美国,https://movie.douban.com/subject/27040774/,2018-06-08,61789
蝴蝶效应,8.9,美国,https://movie.douban.com/subject/1292343/,2004-01-23,973748
蝙蝠侠：黑暗骑士崛起,8.9,美国,https://movie.douban.com/subject/3395373/,2012-08-27,750136
2001太空漫游,8.9,英国,https://movie.douban.com/subject/1292226/,1968-04-02,348308
阿凡达,8.8,美国,https://movie.douban.com/subject/1652587/,2010-01-04,1467917
黑客帝国3：矩阵革命,8.8,美国,https://movie.douban.com/subject/1302467/,2003-11-05,461631
终结者2：审判日,8.8,美国,https://movie.douban.com/subject/1291844/,1991-07-03,353367
千钧一发,8.8,美国,https://movie.douban.com/subject/1300117/,1997-10-24,313995
大都会,9.1,德国,https://movie.douban.com/subject/1298107/,1927-01-10,50197
回到未来,8.8,美国,https://movie.douban.com/subject/1300555/,1985-07-03,222340
